id,title,date,type,duration_seconds,video_url,summary_count,vote_count,topics,wer_score
1149,1/16/24 Council Meeting,2024-01-16,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_4766fab5-7217-4b91-a236-76404963f48f.mp4/playlist.m3u8,66,12,adu (accessory dwelling units)|form-based codes|groundwater or water supply|infill development|infrastructure deficit|missing middle housing|parking minimums or parking reform|valley's edge development,0.2163673625343013
1147,1/6/24 Emergency Council Meeting,2024-01-06,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_2cafba71-4c56-4876-9fa9-d02c057c0191.mp4/playlist.m3u8,17,4,,0.15037252407777577
1146,12/19/23 City Council,2023-12-19,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_16a27c36-011e-48c2-9482-45559d3c4075.mp4/playlist.m3u8,51,3,,0.9998744507219084
1144,12/5/23 City Council Meeting,2023-12-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_5bbaa73e-61b2-4dfb-bf7f-22bb7ce8717d.mp4/playlist.m3u8,27,2,infrastructure deficit,0.17611669688478654
1145,12/5/23 Council Meeting,2023-12-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_23005646-944f-11ee-a93d-0050569183fa.mp4/playlist.m3u8,40,6,,0.17621723614586324
1143,11/21/23 Council Minutes,2023-11-21,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_9ab24027-745f-4f13-8f39-b2dd6b79de7c.mp4/playlist.m3u8,38,3,parking minimums or parking reform,0.21666867397326267
1141,11/7/23 City Council,2023-11-07,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_190f8def-26c8-4593-9bc4-171abf669501.mp4/playlist.m3u8,52,5,affordable housing|housing fee|housing money|infill development|missing middle housing,0.29235521235521233
1140,10/17/23 City Council,2023-10-17,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_d74c9ad2-ba87-4c0d-ab43-9df7679a3ee3.mp4/playlist.m3u8,65,8,infill development|parking minimums or parking reform|valley's edge development,0.18531195356970126
1135,9/19/23 City Council,2023-09-19,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_afbf6a48-e6d1-4ea4-9075-1f765a206b42.mp4/playlist.m3u8,48,2,,0.9696072942493802
1134,9/5/23 City Council,2023-09-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_e503b71d-0902-4c2d-b53e-117c1978ecfe.mp4/playlist.m3u8,31,4,infill development|missing middle housing|valley's edge development,0.1980580496972228
